software	year	n_articles
MAGIC	2001	29
MAGIC	2002	31
MAGIC	2003	39
MAGIC	2004	67
MAGIC	2005	102
MAGIC	2006	128
MAGIC	2007	174
MAGIC	2008	226
MAGIC	2009	378
MAGIC	2010	536
MAGIC	2011	746
MAGIC	2012	978
MAGIC	2013	1254
MAGIC	2014	1597
MAGIC	2015	1689
MAGIC	2016	2006
MAGIC	2017	2369
MAGIC	2018	2704
MAGIC	2019	3052
MAGIC	2020	4621
MAGIC	2021	5595
MAGIC	2022	6490
MAGIC	2023	5956
MAGIC	2024	5756
MAGIC	2025	5340
minimap	2000	0
minimap	2001	0
minimap	2002	0
minimap	2003	0
minimap	2004	0
minimap	2005	1
minimap	2006	0
minimap	2007	0
minimap	2008	0
minimap	2009	0
minimap	2010	0
minimap	2011	0
minimap	2012	0
minimap	2013	2
minimap	2014	1
minimap	2015	0
minimap	2016	9
minimap	2017	24
minimap	2018	40
minimap	2019	84
minimap	2020	127
minimap	2021	173
minimap	2022	160
minimap	2023	185
minimap	2024	199
minimap	2025	192
MOFA	2000	0
MOFA	2001	0
MOFA	2002	0
MOFA	2003	0
MOFA	2004	0
MOFA	2005	0
MOFA	2006	2
MOFA	2007	3
MOFA	2008	1
MOFA	2009	2
MOFA	2010	5
MOFA	2011	2
MOFA	2012	3
MOFA	2013	6
MOFA	2014	5
MOFA	2015	13
MOFA	2016	15
MOFA	2017	23
MOFA	2018	26
MOFA	2019	42
MOFA	2020	74
MOFA	2021	118
MOFA	2022	119
MOFA	2023	182
MOFA	2024	187
MOFA	2025	282
Monocle	2000	0
Monocle	2001	1
Monocle	2002	1
Monocle	2003	0
Monocle	2004	0
Monocle	2005	0
Monocle	2006	0
Monocle	2007	0
Monocle	2008	1
Monocle	2009	0
Monocle	2010	0
Monocle	2011	2
Monocle	2012	1
Monocle	2013	2
Monocle	2014	3
Monocle	2015	3
Monocle	2016	38
Monocle	2017	39
Monocle	2018	95
Monocle	2019	156
Monocle	2020	301
Monocle	2021	551
Monocle	2022	816
Monocle	2023	950
Monocle	2024	1253
Monocle	2025	1559
NicheNet	2000	0
NicheNet	2001	0
NicheNet	2002	0
NicheNet	2003	0
NicheNet	2004	0
NicheNet	2005	0
NicheNet	2006	0
NicheNet	2007	0
NicheNet	2008	0
NicheNet	2009	0
NicheNet	2010	0
NicheNet	2011	0
NicheNet	2012	0
NicheNet	2013	0
NicheNet	2014	0
NicheNet	2015	0
NicheNet	2016	0
NicheNet	2017	0
NicheNet	2018	0
NicheNet	2019	1
NicheNet	2020	18
NicheNet	2021	66
NicheNet	2022	146
NicheNet	2023	204
NicheNet	2024	245
NicheNet	2025	319
RSEM	2000	0
RSEM	2001	0
RSEM	2002	0
RSEM	2003	0
RSEM	2004	0
RSEM	2005	0
RSEM	2006	0
RSEM	2007	0
RSEM	2008	0
RSEM	2009	1
RSEM	2010	0
RSEM	2011	6
RSEM	2012	14
RSEM	2013	87
RSEM	2014	177
RSEM	2015	390
RSEM	2016	648
RSEM	2017	861
RSEM	2018	1005
RSEM	2019	1421
RSEM	2020	1835
RSEM	2021	2401
RSEM	2022	2620
RSEM	2023	2388
RSEM	2024	2587
RSEM	2025	2509
kallisto	2000	0
kallisto	2001	0
kallisto	2002	0
kallisto	2003	0
kallisto	2004	0
kallisto	2005	0
kallisto	2006	0
kallisto	2007	0
kallisto	2008	0
kallisto	2009	0
kallisto	2010	0
kallisto	2011	0
kallisto	2012	0
kallisto	2013	0
kallisto	2014	0
kallisto	2015	5
kallisto	2016	56
kallisto	2017	130
kallisto	2018	265
kallisto	2019	386
kallisto	2020	562
kallisto	2021	778
kallisto	2022	838
kallisto	2023	884
kallisto	2024	930
kallisto	2025	891
Salmon	2000	100
Salmon	2001	98
Salmon	2002	97
Salmon	2003	91
Salmon	2004	156
Salmon	2005	236
Salmon	2006	284
Salmon	2007	401
Salmon	2008	587
Salmon	2009	678
Salmon	2010	886
Salmon	2011	1225
Salmon	2012	1581
Salmon	2013	2046
Salmon	2014	2257
Salmon	2015	2485
Salmon	2016	2810
Salmon	2017	3184
Salmon	2018	3627
Salmon	2019	4392
Salmon	2020	5855
Salmon	2021	7654
Salmon	2022	8608
Salmon	2023	8081
Salmon	2024	8439
Salmon	2025	8216
Scanpy	2000	0
Scanpy	2001	0
Scanpy	2002	0
Scanpy	2003	0
Scanpy	2004	0
Scanpy	2005	0
Scanpy	2006	0
Scanpy	2007	0
Scanpy	2008	0
Scanpy	2009	0
Scanpy	2010	0
Scanpy	2011	0
Scanpy	2012	0
Scanpy	2013	0
Scanpy	2014	0
Scanpy	2015	0
Scanpy	2016	0
Scanpy	2017	0
Scanpy	2018	9
Scanpy	2019	62
Scanpy	2020	183
Scanpy	2021	365
Scanpy	2022	548
Scanpy	2023	875
Scanpy	2024	1275
Scanpy	2025	1650
